DATE,USPRIV
2007-10-01,115904
2007-11-01,115973
2007-12-01,116035
2008-01-01,116031
2008-02-01,115921
2008-03-01,115840
2008-04-01,115604
2008-05-01,115387
2008-06-01,115199
2008-07-01,114935
2008-08-01,114659
2008-09-01,114246
2008-10-01,113759
2008-11-01,112989
2008-12-01,112286
2009-01-01,111476
2009-02-01,110775
2009-03-01,109989
2009-04-01,109168
2009-05-01,108874
2009-06-01,108446
2009-07-01,108159
2009-08-01,107947
2009-09-01,107804
2009-10-01,107522
2009-11-01,107525
2009-12-01,107299
2010-01-01,107308
2010-02-01,107250
2010-03-01,107401
2010-04-01,107571
2010-05-01,107666
2010-06-01,107782
2010-07-01,107875
2010-08-01,108008
2010-09-01,108118
2010-10-01,108335
2010-11-01,108474
2010-12-01,108568
2011-01-01,108620
2011-02-01,108845
2011-03-01,109122
2011-04-01,109453
2011-05-01,109589
2011-06-01,109788
2011-07-01,109975
2011-08-01,110119
2011-09-01,110386
2011-10-01,110580
2011-11-01,110752
2011-12-01,110970
2012-01-01,111326
2012-02-01,111558
2012-03-01,111826
2012-04-01,111910
2012-05-01,112047
2012-06-01,112096
2012-07-01,112269
2012-08-01,112439
2012-09-01,112624
2012-10-01,112799
2012-11-01,112949
2012-12-01,113188
2013-01-01,113413
2013-02-01,113666
2013-03-01,113833
2013-04-01,114013
2013-05-01,114258
2013-06-01,114440
2013-07-01,114576
2013-08-01,114820
2013-09-01,115017
2013-10-01,115232
2013-11-01,115440
2013-12-01,115556
2014-01-01,115740
2014-02-01,115909
2014-03-01,116162
2014-04-01,116447
2014-05-01,116693
2014-06-01,116967
2014-07-01,117180
2014-08-01,117421
2014-09-01,117672
2014-10-01,117906
2014-11-01,118196
2014-12-01,118432
2015-01-01,118637
2015-02-01,118884
2015-03-01,118973
2015-04-01,119219
2015-05-01,119535
2015-06-01,119724
2015-07-01,119958
2015-08-01,120084
2015-09-01,120203
2015-10-01,120536
2015-11-01,120775
2015-12-01,120993
2016-01-01,121083
2016-02-01,121315
2016-03-01,121515
2016-04-01,121685
2016-05-01,121705
2016-06-01,121994
2016-07-01,122225
